"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/09/29,Saint-Narcisse-de-Beaurivage,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0281244,LA MAISON DE BLANCHE ET ZEPHIRIN,28.90,"Gourde, Jacques"
2021/09/30,Levis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0281244,RESTO PUB LE 2000,73.04,"Gourde, Jacques"
2021/10/02,Saint-Narcisse-de-Beaurivage,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0281244,LA MAISON DE BLANCHE ET ZEPHIRIN,211.80,"Gourde, Jacques"
2021/10/05,Gatineau,2,To exchange with dignitaries,Hosting a meeting,M0281991,ST-HUBERT HULL,78.26,"Gourde, Jacques"
2021/10/12,Saint-Nicolas,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0281991,ST-HUBERT ST-NICOLAS,100.18,"Gourde, Jacques"
2021/10/13,Levis,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0281991,RESTO PUB LE 2000,30.13,"Gourde, Jacques"
2021/10/14,Saint-Agapit,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0281991,ANGUS ZONE,89.11,"Gourde, Jacques"
2021/10/17,Sainte-Marie,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0282624,RESTAURANT NORMANDIN,47.89,"Gourde, Jacques"
2021/10/18,Levis,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0282624,RESTO PUB LE 2000,81.10,"Gourde, Jacques"
2021/10/21,Levis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0282624,RESTO PUB LE 2000,52.64,"Gourde, Jacques"
2021/10/23,Sainte-Marie,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0282783,RESTO PUB 1093,145.97,"Gourde, Jacques"
2021/10/26,Gatineau,2,To exchange with dignitaries,Hosting a meeting,M0282783,ST-HUBERT GATINEAU,87.58,"Gourde, Jacques"
2021/10/27,Sainte-Julie,2,To exchange with dignitaries,Hosting a meeting,M0283528,PACINI STE-JULIE,74.45,"Gourde, Jacques"
2021/11/01,Saint-Nicolas,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0283528,ST-HUBERT ST-NICOLAS,126.68,"Gourde, Jacques"
2021/11/03,Levis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0283528,RESTO PUB LE 2000,77.38,"Gourde, Jacques"
2021/11/09,Levis,5,To meet constituents,Hosting a meeting,M0284527,RESTO PUB LE 2000,104.81,"Gourde, Jacques"
2021/11/10,Lotbinière,1,To meet constituents,Meal at a community activity or event,M0284527,REGROUPEMENT DES PERSONNES AIDANTES DE LOTBINIERE,55.00,"Gourde, Jacques"
2021/11/15,Levis,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0284527,RESTO PUB LE 2000,93.79,"Gourde, Jacques"
2021/11/16,Hull,2,To exchange with dignitaries,Hosting a meeting,M0284527,ST-HUBERT HULL,74.97,"Gourde, Jacques"
2021/11/22,Ottawa,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0285927,IGA 8501,39.46,"Gourde, Jacques"
2021/11/23,Ottawa,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0285927,IGA 8064,43.38,"Gourde, Jacques"
2021/11/24,Hull,2,To exchange with dignitaries,Hosting a meeting,M0285927,ST-HUBERT HULL,86.05,"Gourde, Jacques"
2021/11/30,Hull,2,To exchange with dignitaries,Hosting a meeting,M0285927,ST-HUBERT HULL,71.98,"Gourde, Jacques"
2021/12/07,Gatineau,2,To exchange with dignitaries,Hosting a meeting,M0286952,ST-HUBERT HULL,85.47,"Gourde, Jacques"
2021/12/09,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0286956,IGA EXTRA FAMILLE PLANTE,115.54,"Gourde, Jacques"
2021/12/09,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0286956,IGA ,28.03,"Gourde, Jacques"
2021/12/15,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0287897,IGA EXTRA FAMILLE LAPLANTE,127.60,"Gourde, Jacques"
2021/09/28,Montreal,6,To plan Member's priorities and activities,Hosting a meeting,M0281082,Pontiac,130.15,"Guilbeault, Steven"
2021/10/16,Terrace Bay,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0283947,Drifters,82.18,"Hajdu, Patty"
2021/11/08,Thunder Bay (City),2,To discuss constituency issues with stakeholders,Hosting a meeting,M0283944,5 Forks Restaurant,104.48,"Hajdu, Patty"
2021/04/01,Calgary,0,To meet constituents,Hosting a meeting,M0280838,Walmart,59.84,"Hallan, Jasraj Singh"
2021/10/12,Calgary,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0284698,The Park Kitchen and Bar,19.50,"Hallan, Jasraj Singh"
2021/10/18,Calgary,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0284698,Panago,64.75,"Hallan, Jasraj Singh"
2021/11/10,Calgary,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0284513,Walmart,60.45,"Hallan, Jasraj Singh"
2021/11/15,Calgary,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0284513,Mehfil Curry & Kebab,104.04,"Hallan, Jasraj Singh"
2021/10/06,Ottawa,5,To plan Member's priorities and activities,Hosting a staff event,M0281517,Giovanni`s,336.77,"Hardie, Ken"
2021/10/18,Surrey,30,To meet constituents,Hosting a meeting,M0282686,Kwantlen pizza ,311.00,"Hardie, Ken"
2021/10/22,Surrey,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0285045,boston pizza,38.75,"Hardie, Ken"
2021/12/08,Ottawa,4,To meet visitors of Member’s office,Hosting a meeting,M0287332,Bier market,90.00,"Hardie, Ken"
2021/12/11,Gatineau,7,To plan Member's priorities and activities,Hosting a staff event,M0287332,La squadra,502.70,"Hardie, Ken"
2021/08/12,Birch Hills,200,To meet constituents,Hosting a town hall or community event,M0282834,Lake Country CO-OP ,157.84,"Hoback, Randy"
2021/11/26,Regina,1,To plan Member's priorities and activities,Hosting a meeting,M0286407,Earl's Restaurants,69.92,"Hoback, Randy"
2021/04/01,Ajax,0,To meet visitors of Member’s office,Hosting a meeting,M0284263,Sobeys,25.45,"Holland, Mark"
2021/04/01,Montréal,0,To meet visitors of Member’s office,Hosting a meeting,M0286440,Costco Wholesale,70.48,"Housefather, Anthony"
2021/08/04,Montreal,0,To attend staff events including training,Hosting a meeting,M0282157,El Shaimaa Saliem,15.47,"Housefather, Anthony"
2021/04/01,Laval,0,To meet constituents,Hosting a meeting,M0283262,ULTRAMAR,3.19,"Iacono, Angelo"
2021/04/01,Laval,0,To meet constituents,Hosting a meeting,M0286187,ULTRAMAR,4.19,"Iacono, Angelo"
2021/04/01,Laval,0,To meet constituents,Hosting a meeting,M0284283,IMPORTATIONS ALIMENTAIRES MÉGA INC,60.00,"Iacono, Angelo"
2021/10/14,Montreal,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0283262,ALATI-CASERTA,20.00,"Iacono, Angelo"
2021/10/20,Laval,4,To meet constituents,Hosting a meeting,M0283262,MAISON SI BON,32.53,"Iacono, Angelo"
2021/10/27,Laval,6,To meet constituents,Hosting a meeting,M0283262,PÂTISSERIE SAINT-MARTIN,16.00,"Iacono, Angelo"
2021/11/06,Laval,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0283262,OPALE COMMUNICATIONS INC,110.00,"Iacono, Angelo"
2021/11/03,Resolute,10,To meet constituents,Hosting a town hall or community event,M0283759,Atco Frontec Inc. ,60.00,"Idlout, Lori"
2021/11/16,Iqaluit,40,To meet constituents,Hosting a town hall or community event,M0285907,Nunavut Country Food,1500.00,"Idlout, Lori"
2021/11/16,Iqaluit,40,To meet constituents,Hosting a town hall or community event,M0286334,Northmart,30.74,"Idlout, Lori"
2021/11/16,Iqaluit,40,To meet constituents,Hosting a town hall or community event,M0285907,Artic Ventures Marketplace,87.43,"Idlout, Lori"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0284697,walmart,45.02,"Jeneroux, Matt"
2021/10/09,Edmonton,2,To meet constituents,Hosting a meeting,M0283514,Square 1 Coffee Inc,10.50,"Jeneroux, Matt"
2021/10/09,Edmonton,2,To meet constituents,Hosting a meeting,M0283514,HART'S TABLE AND BAR,44.00,"Jeneroux, Matt"
2021/10/24,Edmonton,3,To meet constituents,Hosting a meeting,M0283514,Saratoga Restaurant,56.24,"Jeneroux, Matt"
2021/11/15,Vancouver,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0284532,Wall Centre Bar one,15.00,"Jeneroux, Matt"
2021/09/29,Port Alberni,4,To meet constituents,Hosting a meeting,M0282081,Starboard Grill,88.87,"Johns, Gord"
2021/10/08,Ottawa,5,To meet constituents,Hosting a meeting,M0282081,Nate's Grill,82.70,"Johns, Gord"
2021/07/26,St. John's,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0279327,Gypsy Tea Room,429.43,"Jones, Yvonne"
2021/07/27,St. John's,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0279327,Vu Restaurant,259.99,"Jones, Yvonne"
2021/08/03,Battle Harbour,7,To meet constituents,Hosting a meeting,M0279327,Battle Harbour Historic Trust,140.00,"Jones, Yvonne"
2021/08/12,Labrador City,6,To meet constituents,Hosting a meeting,M0279327,Sushi Lab,59.27,"Jones, Yvonne"
2021/11/04,Labrador City,40,To meet constituents,Hosting a reception or open house,M0285562,Menihek Nordic Ski Club,997.04,"Jones, Yvonne"
2021/11/05,Labrador City,4,To meet constituents,Hosting a meeting,M0285192,Two Seasons Inn,74.41,"Jones, Yvonne"
2021/11/14,St. John's,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0285192,The Rock Steakhouse,81.80,"Jones, Yvonne"
2021/11/18,Ottawa,12,To meet constituents,Hosting a meeting,M0285192,Luxe Bistro,779.80,"Jones, Yvonne"
2021/11/19,St. John's,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0285192,Delta St. John's Pinnacle Restaurant,199.16,"Jones, Yvonne"
2021/04/01,Richmond Hill,0,To meet visitors of Member’s office,Hosting a meeting,M0282895,FRESHCO,27.30,"Jowhari, Majid"
2021/10/20,Richmond Hill,7,To attend staff events including training,Hosting a staff event,M0282895,ANEALS TASTE OF THE ISLA,70.01,"Jowhari, Majid"
2021/10/22,Richmond Hill,8,To attend staff events including training,Hosting a staff event,M0282895,Meat Zone,124.91,"Jowhari, Majid"
2021/04/01,New Westminster,0,To meet visitors of Member’s office,Hosting a meeting,M0286149,Nespresso,140.40,"Julian, Peter"
2021/07/30,New Westminster,50,To meet constituents,Hosting a town hall or community event,M0281308,Wholesale Club,34.58,"Julian, Peter"
2021/11/14,London,100,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0284986,JNF Negev,210.00,"Kayabaga, Arielle"
2021/11/17,London,25,To celebrate a significant event,Hosting a meeting,M0284986,Palasad Billiards South,149.50,"Kayabaga, Arielle"
2021/09/28,Dominion,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0280904,Auld Shamrock,70.95,"Kelloway, Mike"
2021/11/07,Grand Mira South,30,To meet constituents,Hosting a town hall or community event,M0284943,Sobeys,49.30,"Kelloway, Mike"
2021/11/16,Ottawa,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0284943,Parliamentary Restaurant,271.77,"Kelloway, Mike"
2021/12/03,Sydney,1,To celebrate a significant event,Meal at a community activity or event,M0284943,Eventbrite,75.00,"Kelloway, Mike"
2021/12/08,Dominion,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0286992,The Sandbar Restaurant and Lounge,83.70,"Kelloway, Mike"
2021/12/10,Dominion,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0287046,Auld Shamrock,110.42,"Kelloway, Mike"
2021/10/12,Calgary,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0282681,The Park Kitchen and Bar,21.70,"Kmiec, Tom"
2021/11/03,Edmonton,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0284992,Miss Saigon,43.98,"Kmiec, Tom"
2021/11/19,Calgary,1,To meet constituents,Hosting a meeting,M0284992,Costco,39.99,"Kmiec, Tom"
2021/11/27,Calgary,400,To celebrate a significant event,Hosting a town hall or community event,M0284992,Costco,95.88,"Kmiec, Tom"
2021/11/27,Calgary,400,To celebrate a significant event,Hosting a town hall or community event,M0284992,Good Earth Coffeehouse,414.50,"Kmiec, Tom"
2021/11/27,Calgary,400,To celebrate a significant event,Hosting a town hall or community event,M0284992,Dollarama,5.08,"Kmiec, Tom"
2021/12/04,Calgary,300,To celebrate a significant event,Hosting a town hall or community event,M0286391,Costco,63.92,"Kmiec, Tom"
2021/12/04,Calgary,300,To celebrate a significant event,Hosting a town hall or community event,M0286391,Second Cup,450.00,"Kmiec, Tom"
2021/07/26,Waskesiu Lake,15,"To discuss business of the House, caucus and committees",Hosting a meeting,M0283889,Elk Ridge Resort,205.75,"Kram, Michael"
2021/09/21,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0286366,Costco,40.39,"Kramp-Neuman, Shelby"
2021/09/21,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0286366,Canadian Tire,136.28,"Kramp-Neuman, Shelby"
2021/05/31,Ottawa,25,To meet visitors of Member’s office,Hosting a meeting,M0283616,PROVIGO,37.98,"Kurek, Damien"
2021/10/28,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0282915,Independent ,64.08,"Kurek, Damien"
2021/10/28,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0283921,Nates,95.33,"Kurek, Damien"
2021/10/30,Consort,75,To meet constituents,Hosting a reception or open house,M0283111,Walmart ,91.58,"Kurek, Damien"
2021/11/04,Edmonton,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0283605,Highlevel Diner ,78.76,"Kurek, Damien"
2021/11/10,Camrose,3,To meet constituents,Hosting a meeting,M0284129,Family Phoever,30.35,"Kurek, Damien"
2021/11/15,Camrose,4,To meet constituents,Hosting a meeting,M0284359,Panago,107.34,"Kurek, Damien"
2021/11/24,Camrose,50,To meet constituents,Hosting a reception or open house,M0286290,WILDROSE FOOD SERVICE ,49.99,"Kurek, Damien"
2021/11/30,Ottawa,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0285834,IGA,100.97,"Kurek, Damien"
2021/11/30,Ottawa,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0285834,Provigo,70.42,"Kurek, Damien"
2021/11/30,Camrose,1,To meet constituents,Meal at a community activity or event,M0287035,CAMROSE & DISTRICT CHNMBER OF COMMERCE,20.00,"Kurek, Damien"
2021/11/30,Ottawa,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0285834,WALMART,46.92,"Kurek, Damien"
2021/07/21,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0281221,Rideau Club,72.47,"Kusie, Stephanie"
2021/10/06,Ottawa,2,To plan Member's priorities and activities,Hosting a meeting,M0282937,Zoe's Lounge Chateau Laurier,93.81,"Kusie, Stephanie"
2021/10/21,Calgary,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0283668,Haru Sushi and Grill,57.79,"Kusie, Stephanie"
2021/10/26,Ottawa,2,To plan Member's priorities and activities,Hosting a meeting,M0283668,Rideau Club,220.47,"Kusie, Stephanie"
2021/11/03,Ottawa,4,"To discuss business of the House, caucus and committees",Hosting a meeting,M0283668,Parliamentary Restaurant,150.80,"Kusie, Stephanie"
2021/11/03,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0283668,Mamma Teresa's,691.83,"Kusie, Stephanie"
2021/11/23,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0285361,Loblaw,9.99,"Kusie, Stephanie"
2021/08/31,Vancouver,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0282887,Show pass,64.12,"Kwan, Jenny"
2021/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0270555,Culligan Water,30.00,"Lake, Mike"
2021/07/20,Edmonton,17,To meet constituents,Hosting a town hall or community event,M0270555,The Friends of the Reynolds-Alberta Museum Society,300.00,"Lake, Mike"
2021/12/02,Ottawa,6,To celebrate a significant event,Hosting a staff event,M0287544,Parliamentary Restaurant,216.31,"Lake, Mike"
2021/04/01,Orléans,0,To meet visitors of Member’s office,Hosting a meeting,M0284500,Costco Wholesale,36.49,"Lalonde, Marie-France"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0285937,Nespresso,168.40,"Lalonde, Marie-France"
2021/10/21,Ottawa,3,To meet constituents,Hosting a meeting,M0282921,Costco Wholesale,36.49,"Lalonde, Marie-France"
2021/10/21,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a staff event,M0282955,The Bad Alibi,44.99,"Lalonde, Marie-France"
2021/10/28,Ottawa,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0280810,Ecology Ottawa,160.00,"Lalonde, Marie-France"
2021/11/05,Ottawa,8,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0284500,Royal Canadian Legion,8.40,"Lalonde, Marie-France"
2021/11/05,Ottawa,8,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0284500,Prestige Catering,23.40,"Lalonde, Marie-France"
2021/11/13,Ottawa,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0284500,Royal Canadian Legion,150.00,"Lalonde, Marie-France"
2021/11/18,Toronto,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0282921,Fondation franco-ontarienne,225.00,"Lalonde, Marie-France"
2021/12/01,Ottawa,1,To meet constituents,Meal at a community activity or event,M0287236,The Rotary Club of Orleans,80.00,"Lalonde, Marie-France"
2021/12/03,Ottawa,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0284500,Christmas Cheer Foundation,150.00,"Lalonde, Marie-France"
2021/10/26,Montreal,200,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0282689,Tune in to Yes,250.00,"Lambropoulos, Emmanuella"
