"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/04/01,Steinbach,0,To meet visitors of Member’s office,Hosting a meeting,M0269456,Sobeys,18.64,"Falk, Ted"
2021/04/21,Ottawa,3,To attend staff events including training,Hosting a meeting,M0268832,Food Services,28.40,"Falk, Ted"
2021/06/01,Steinbach,5,To attend staff events including training,Hosting a meeting,M0271608,Bigg Smoak BBQ,110.06,"Falk, Ted"
2021/06/01,Steinbach,5,To attend staff events including training,Hosting a meeting,M0271608,Dairy Queen,29.99,"Falk, Ted"
2021/04/01,Abbotsford,0,To meet visitors of Member’s office,Hosting a meeting,M0271221,Nespresso,77.00,"Fast, Ed"
2021/04/01,Abbotsford,0,To meet visitors of Member’s office,Hosting a meeting,M0268639,Nespresso,85.95,"Fast, Ed"
2021/05/15,Gatineau,1,To discuss constituency issues with stakeholders,"Meal at a gala, reception or ceremony",M0270657,La maison et fondation Mathieu Froment-Savoie,113.00,"Fergus, Greg"
2021/05/15,Gatineau,1,To discuss constituency issues with stakeholders,"Meal at a gala, reception or ceremony",M0270656,La maison et fondation Mathieu Froment-Savoie,113.00,"Fergus, Greg"
2021/04/12,Halifax,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0270891,subway,22.42,"Fillmore, Andy"
2021/04/01,Surrey,0,To meet visitors of Member’s office,Hosting a meeting,M0268009,Shell Canada Products ,2.99,"Findlay, Kerry-Lynne"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0271067,Shoppers Drug Mart,4.49,"Findlay, Kerry-Lynne"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0271067,HOC Food Services,7.70,"Findlay, Kerry-Lynne"
2021/04/01,Surrey,0,To meet visitors of Member’s office,Hosting a meeting,M0272682,Save-On-Foods,10.00,"Findlay, Kerry-Lynne"
2021/04/01,Saint-Jérôme,1,To attend staff events including training,Hosting a meeting,M0268436,St-Hubert,29.90,"Fortin, Rhéal"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0272418,Pharmaprix,37.47,"Fortin, Rhéal"
2021/05/28,Saint-Jérôme,0,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0269168,Fondation cégep de Saint-Jérôme,125.00,"Fortin, Rhéal"
2021/04/01,Pembroke,0,To meet visitors of Member’s office,Hosting a meeting,M0267838,Walmart,6.88,"Gallant, Cheryl"
2021/04/01,Pembroke,0,To meet visitors of Member’s office,Hosting a meeting,M0273448,Giant Tiger,27.70,"Gallant, Cheryl"
2021/06/21,Winnipeg,0,To meet constituents,"Meal at a gala, reception or ceremony",M0273285,Planners Plus,125.00,"Gazan, Leah"
2021/04/01,Rivière-du-Loup,0,To meet visitors of Member’s office,Hosting a meeting,M0273172,MAXI,1.88,"Généreux, Bernard"
2021/05/01,Montmagny,1,To meet constituents,Meal at a community activity or event,M0269700,Club richelieu Montmagny,110.00,"Généreux, Bernard"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0273205,Walmart,4.97,"Gill, Marilène"
