claim_id,from_date,end_date,transport_cost,accommodation_cost,meals_and_incidentals_cost,reg_points_used,special_points_used,USA_points_used,total_cost,mp_office
200488904,2021/04/01,2021/04/30,0.0000,2000.0000,0.0000,0,0,0,2000.00,"Bibeau, Hon. Marie-Claude"
T0211694,2021/04/17,2021/05/16,0.0000,121.3100,0.0000,0,0,0,121.31,"Bibeau, Hon. Marie-Claude"
200491819,2021/05/01,2021/05/31,0.0000,2000.0000,0.0000,0,0,0,2000.00,"Bibeau, Hon. Marie-Claude"
200498350,2021/06/01,2021/06/30,0.0000,2000.0000,0.0000,0,0,0,2000.00,"Bibeau, Hon. Marie-Claude"
200503108,2021/07/01,2021/07/31,0.0000,2000.0000,0.0000,0,0,0,2000.00,"Bibeau, Hon. Marie-Claude"
200488905,2021/04/01,2021/04/30,0.0000,2600.0000,0.0000,0,0,0,2600.00,"Blair, Hon. Bill"
200491820,2021/05/01,2021/05/31,0.0000,2600.0000,0.0000,0,0,0,2600.00,"Blair, Hon. Bill"
T0213028,2021/06/01,2021/06/01,18.0300,0.0000,0.0000,0,0.0000,0,18.03,"Blair, Hon. Bill"
T0213029,2021/06/01,2021/06/01,18.2900,0.0000,0.0000,0,0.0000,0,18.29,"Blair, Hon. Bill"
200498351,2021/06/01,2021/06/30,0.0000,2600.0000,0.0000,0,0,0,2600.00,"Blair, Hon. Bill"
200503109,2021/07/01,2021/07/31,0.0000,2600.0000,0.0000,0,0,0,2600.00,"Blair, Hon. Bill"
200488906,2021/04/01,2021/04/30,0.0000,2080.0000,0.0000,0,0,0,2080.00,"Blanchet, Yves-François"
T0211491,2021/04/07,2021/04/08,329.3400,0.0000,103.7500,1.0000,0,0,433.09,"Blanchet, Yves-François"
T0211740,2021/04/12,2021/04/12,220.5000,0.0000,0.0000,1.0000,0,0,220.50,"Blanchet, Yves-François"
T0211739,2021/04/12,2021/04/15,333.5100,0.0000,254.0600,1.0000,0,0,587.57,"Blanchet, Yves-François"
T0212059,2021/04/18,2021/04/22,329.3400,0.0000,338.7500,1.0000,0,0,668.09,"Blanchet, Yves-François"
T0212185,2021/04/26,2021/04/29,336.7900,0.0000,291.9600,1.0000,0,0,628.75,"Blanchet, Yves-François"
T0212310,2021/04/28,2021/04/29,220.5000,154.4100,101.2000,1.0000,0,0,476.11,"Blanchet, Yves-François"
200491821,2021/05/01,2021/05/31,0.0000,2080.0000,0.0000,0,0,0,2080.00,"Blanchet, Yves-François"
T0212375,2021/05/03,2021/05/06,337.3800,0.0000,273.1200,1.0000,0,0,610.50,"Blanchet, Yves-François"
T0212497,2021/05/10,2021/05/14,333.5100,0.0000,357.8100,1.0000,0,0,691.32,"Blanchet, Yves-François"
T0212626,2021/05/16,2021/05/19,377.0700,279.8300,84.6900,1.5000,0,0,741.59,"Blanchet, Yves-François"
T0212704,2021/05/21,2021/05/21,132.5000,0.0000,18.5900,0,1.0000,0,151.09,"Blanchet, Yves-François"
