icao,name,latitude,longitude,city,iata,province
CYWP,Webequie Airport,52.9593933975,-87.3748683929,Webequie,YWP,Ontario
CYWV,Wainwright Airport,52.7957992554,-110.8570022583,Wainwright,,Alberta
CYWY,Wrigley Airport,63.209400177,-123.43699646,Wrigley,YWY,Northwest-Territories
CYXC,Cranbrook Airport,49.6108016968,-115.7819976807,Cranbrook,YXC,British-Columbia
CYXE,Saskatoon John G. Diefenbaker International Airport,52.1707992554,-106.6999969482,Saskatoon,YXE,Saskatchewan
CYXH,Medicine Hat Airport,50.018901825,-110.7210006714,Medicine Hat,YXH,Alberta
CYXJ,Fort St John Airport,56.2380981445,-120.7399978638,Fort St.John,YXJ,British-Columbia
CYXK,Rimouski Airport,48.478099823,-68.4969024658,Rimouski,YXK,Quebec
CYXL,Sioux Lookout Airport,50.113899231,-91.9052963257,Sioux Lookout,YXL,Ontario
CYXN,Whale Cove Airport,62.2400016785,-92.5980987549,Whale Cove,YXN,Nunavut
CYXP,Pangnirtung Airport,66.1449966431,-65.7136001587,Pangnirtung,YXP,Nunavut
CYXQ,Beaver Creek Airport,62.4103012085,-140.8670043945,Beaver Creek,YXQ,Yukon
CYXR,Earlton (Timiskaming Regional) Airport,47.6974006546,-79.8473453522,Earlton,YXR,Ontario
CYXS,Prince George Airport,53.8894004822,-122.6790008545,Prince George,YXS,British-Columbia
CYXT,Terrace Airport,54.46849823,-128.5760040283,Terrace,YXT,British-Columbia
CYXU,London Airport,43.0355987549,-81.1539001465,London,YXU,Ontario
CYXX,Abbotsford Airport,49.0252990723,-122.361000061,Abbotsford,YXX,British-Columbia
CYXY,Whitehorse / Erik Nielsen International Airport,60.7095985413,-135.067001343,Whitehorse,YXY,Yukon
CYXZ,Wawa Airport,47.9667015076,-84.7866973877,Wawa,YXZ,Ontario
CYYB,North Bay Airport,46.3636016846,-79.4227981567,North Bay,YYB,Ontario
CYYC,Calgary International Airport,51.113899231,-114.0199966431,Calgary,YYC,Alberta
CYYD,Smithers Airport,54.8246994019,-127.1829986572,Smithers,YYD,British-Columbia
CYYE,Fort Nelson Airport,58.8363990784,-122.5970001221,Fort Nelson,YYE,British-Columbia
CYYG,Charlottetown Airport,46.2900009155,-63.1211013794,Charlottetown,YYG,Newfoundland-and-Labrador
CYYH,Taloyoak Airport,69.5466995239,-93.5766983032,Taloyoak,YYH,Nunavut
CYYJ,Victoria International Airport,48.646900177,-123.4260025024,Victoria,YYJ,British-Columbia
CYYL,Lynn Lake Airport,56.863899231,-101.0759963989,Lynn Lake,YYL,Manitoba
CYYM,Cowley Airport,49.6363983154,-114.09400177,Cowley,YYM,Alberta
CYYN,Swift Current Airport,50.2919006348,-107.691001892,Swift Current,YYN,Saskatchewan
CYYO,Wynyard / W.B. Needham Field,51.8098883726,-104.169788361,Wynyard,,Saskatchewan
CYYQ,Churchill Airport,58.739200592,-94.0650024414,Churchill,YYQ,Manitoba
CYYR,Goose Bay Airport,53.3191986084,-60.4258003235,Goose Bay,YYR,Newfoundland-and-Labrador
CYYT,St. John's International Airport,47.618598938,-52.7518997192,St. John's,YYT,Newfoundland-and-Labrador
CYYU,Kapuskasing Airport,49.413898468,-82.4674987793,Kapuskasing,YYU,Ontario
CYYW,Armstrong Airport,50.2902984619,-88.9096984863,Armstrong,YYW,Ontario
CYYY,Mont Joli Airport,48.6086006165,-68.2080993652,Mont-Joli,YYY,Quebec
CYYZ,Lester B. Pearson International Airport,43.6772003174,-79.6305999756,Toronto,YYZ,Ontario
CYZE,Gore Bay Manitoulin Airport,45.8852996826,-82.5678024292,Gore Bay,YZE,Ontario
CYZF,Yellowknife Airport,62.4627990723,-114.4400024414,Yellowknife,YZF,Northwest-Territories
CYZG,Salluit Airport,62.1794013977,-75.6671981812,Salluit,YZG,Quebec
